time	V(ausgang)
1.790429687500000e-004	7.023028e-001
1.809960937500000e-004	7.032838e-001
1.839257812500000e-004	7.056474e-001
1.868554687500000e-004	7.092493e-001
1.897851562500000e-004	7.144192e-001
1.927148437500000e-004	7.217388e-001
1.956445312500000e-004	7.322377e-001
1.975976562500000e-004	7.418451e-001
1.980329241071428e-004	7.442498e-001
1.984681919642857e-004	7.468524e-001
1.989034598214285e-004	7.496528e-001
1.993387276785713e-004	7.526511e-001
1.997739955357141e-004	7.558473e-001
2.002092633928569e-004	7.592413e-001
2.006445312499998e-004	7.628332e-001
2.013320312499995e-004	7.689441e-001
2.023085937499995e-004	7.782086e-001
2.032851562499995e-004	7.879861e-001
2.040234375000000e-004	7.955959e-001
2.050976562500000e-004	8.067226e-001
2.064090401785714e-004	8.200119e-001
2.077204241071429e-004	8.316833e-001
2.090318080357143e-004	8.417367e-001
2.103431919642857e-004	8.501722e-001
2.116545758928572e-004	8.569897e-001
2.129659598214286e-004	8.621893e-001
2.142773437500000e-004	8.657710e-001
2.152539062500000e-004	8.669078e-001
2.162304687500000e-004	8.669609e-001
2.172070312500000e-004	8.659397e-001
2.191601562500000e-004	8.607605e-001
2.211132812500000e-004	8.516348e-001
2.230664062500000e-004	8.389720e-001
2.259960937500000e-004	8.146313e-001
2.289257812500000e-004	7.865026e-001
2.308789062500001e-004	7.677461e-001
2.328320312500001e-004	7.506206e-001
2.357617187500001e-004	7.296285e-001
2.386914062500001e-004	7.139606e-001
2.425976562500001e-004	6.987915e-001
2.443833705357143e-004	6.935400e-001
2.461690848214286e-004	6.887104e-001
2.479547991071429e-004	6.843027e-001
2.497405133928572e-004	6.803168e-001
2.515262276785714e-004	6.767528e-001
2.533119419642858e-004	6.736107e-001
2.550976562500000e-004	6.708905e-001
2.556835937500000e-004	6.700053e-001
2.564648437500000e-004	6.688717e-001
2.574414062500000e-004	6.675229e-001
2.584179687500000e-004	6.662503e-001
2.590234375000000e-004	6.655140e-001
2.602929687500000e-004	6.640784e-001
2.619949776785714e-004	6.624858e-001
2.636969866071429e-004	6.610902e-001
2.653989955357143e-004	6.598913e-001
2.671010044642857e-004	6.588894e-001
2.688030133928572e-004	6.580843e-001
2.705050223214286e-004	6.574761e-001
2.722070312500000e-004	6.570648e-001
2.741601562500000e-004	6.567318e-001
2.751367187500000e-004	6.566368e-001
2.761132812500001e-004	6.565882e-001
2.770898437500001e-004	6.565854e-001
2.780664062500001e-004	6.566280e-001
2.800195312500001e-004	6.568481e-001
2.819726562500001e-004	6.572486e-001
2.849023437500001e-004	6.581939e-001
2.878320312500001e-004	6.595730e-001
2.907617187500001e-004	6.614257e-001
2.936914062500001e-004	6.638157e-001
2.966210937500001e-004	6.668420e-001
2.971467633928572e-004	6.674527e-001
2.976724330357142e-004	6.680941e-001
2.981981026785713e-004	6.687661e-001
2.987237723214283e-004	6.694689e-001
2.992494419642854e-004	6.702024e-001
2.997751116071424e-004	6.709665e-001
3.003007812499995e-004	6.717613e-001
3.013320312499978e-004	6.734434e-001
3.023085937499978e-004	6.751414e-001
3.032851562499978e-004	6.769307e-001
3.040234375000000e-004	6.783527e-001
3.052929687500000e-004	6.809006e-001
3.075530133928572e-004	6.858450e-001
3.098130580357143e-004	6.912133e-001
3.120731026785714e-004	6.970054e-001
3.143331473214286e-004	7.032214e-001
3.165931919642858e-004	7.098613e-001
3.188532366071429e-004	7.169250e-001
3.211132812500001e-004	7.244126e-001
3.240429687500001e-004	7.335047e-001
3.269726562500001e-004	7.411073e-001
3.299023437500001e-004	7.460035e-001
3.308789062500001e-004	7.468696e-001
3.318554687500001e-004	7.473190e-001
3.328320312500001e-004	7.473455e-001
3.338085937500001e-004	7.469522e-001
3.357617187500001e-004	7.449651e-001
3.377148437500001e-004	7.415567e-001
3.406445312500001e-004	7.344555e-001
3.435742187500001e-004	7.260267e-001
3.465039062500001e-004	7.173101e-001
3.494335937500001e-004	7.089774e-001
3.523632812500001e-004	7.013416e-001
3.528376116071429e-004	7.001730e-001
3.533119419642858e-004	6.990261e-001
3.537862723214286e-004	6.979009e-001
3.542606026785715e-004	6.967973e-001
3.547349330357143e-004	6.957155e-001
3.552092633928572e-004	6.946554e-001
3.556835937500000e-004	6.936169e-001
3.564648437500000e-004	6.919767e-001
3.574414062500000e-004	6.900283e-001
3.584179687500000e-004	6.881975e-001
3.590234375000001e-004	6.871461e-001
3.600976562500000e-004	6.854050e-001
3.618275669642857e-004	6.831527e-001
3.635574776785714e-004	6.811981e-001
3.652873883928572e-004	6.795411e-001
3.670172991071429e-004	6.781817e-001
3.687472098214286e-004	6.771200e-001
3.704771205357143e-004	6.763558e-001
3.722070312500000e-004	6.758894e-001
3.741601562500000e-004	6.755288e-001
3.751367187500000e-004	6.754454e-001
3.761132812500000e-004	6.754252e-001
3.770898437500000e-004	6.754673e-001
3.780664062500000e-004	6.755714e-001
3.800195312500000e-004	6.759657e-001
3.819726562500000e-004	6.766117e-001
3.849023437500000e-004	6.780756e-001
3.878320312500001e-004	6.801898e-001
3.907617187500001e-004	6.830602e-001
3.936914062500001e-004	6.868616e-001
3.966210937500001e-004	6.918850e-001
3.971467633928571e-004	6.929190e-001
3.976724330357142e-004	6.940266e-001
3.981981026785713e-004	6.952077e-001
3.987237723214284e-004	6.964625e-001
3.992494419642854e-004	6.977909e-001
3.997751116071425e-004	6.991928e-001
4.003007812499996e-004	7.006684e-001
4.013320312499983e-004	7.039022e-001
4.023085937499983e-004	7.072673e-001
4.032851562499983e-004	7.109104e-001
4.040234375000000e-004	7.138861e-001
4.050976562500000e-004	7.184647e-001
4.064090401785715e-004	7.249140e-001
4.077204241071429e-004	7.314929e-001
4.090318080357143e-004	7.382015e-001
4.103431919642858e-004	7.450397e-001
4.116545758928572e-004	7.520075e-001
4.129659598214286e-004	7.591050e-001
4.142773437500000e-004	7.663321e-001
4.172070312500000e-004	7.788928e-001
4.201367187500001e-004	7.862222e-001
4.211132812500001e-004	7.872842e-001
4.220898437500001e-004	7.876245e-001
4.230664062500001e-004	7.872437e-001
4.240429687500001e-004	7.861547e-001
4.259960937500001e-004	7.819625e-001
4.279492187500001e-004	7.753870e-001
4.308789062500001e-004	7.622432e-001
4.338085937500001e-004	7.472608e-001
4.367382812500001e-004	7.326850e-001
4.396679687500001e-004	7.198164e-001
4.425976562500001e-004	7.089390e-001
4.455273437500001e-004	6.998267e-001
4.468945312500001e-004	6.961464e-001
4.482617187500000e-004	6.926783e-001
4.496289062500001e-004	6.894226e-001
4.509960937500000e-004	6.863791e-001
4.523632812500000e-004	6.835479e-001
4.537304687500000e-004	6.809290e-001
4.550976562500000e-004	6.785224e-001
4.556835937500000e-004	6.775264e-001
4.564648437500000e-004	6.762505e-001
4.574414062500000e-004	6.747333e-001
4.584179687500000e-004	6.733035e-001
4.590234375000001e-004	6.724780e-001
4.602929687500000e-004	6.708728e-001
4.619949776785714e-004	6.691098e-001
4.636969866071429e-004	6.675678e-001
4.653989955357143e-004	6.662468e-001
4.671010044642857e-004	6.651469e-001
4.688030133928571e-004	6.642679e-001
4.705050223214286e-004	6.636101e-001
4.722070312500000e-004	6.631732e-001
4.741601562500000e-004	6.628190e-001
4.751367187500000e-004	6.627203e-001
4.761132812500000e-004	6.626723e-001
4.770898437500000e-004	6.626745e-001
4.780664062500000e-004	6.627265e-001
4.800195312500000e-004	6.629785e-001
4.819726562500000e-004	6.634289e-001
4.849023437500000e-004	6.644856e-001
4.878320312500000e-004	6.660273e-001
4.907617187500000e-004	6.681064e-001
4.936914062500000e-004	6.708077e-001
