time	V(receiver)
1.123046874506601e-006	-5.911970e-001
1.132812499506601e-006	-5.206683e-001
1.142578124506601e-006	-4.501502e-001
1.152343749506602e-006	-3.798076e-001
1.162109374506602e-006	-3.097300e-001
1.171874999506602e-006	-2.399410e-001
1.181640624506602e-006	-1.704106e-001
1.201171874506602e-006	-3.183051e-002
1.210937499506602e-006	3.740428e-002
1.220703124506602e-006	1.067156e-001
1.230468749506602e-006	1.761560e-001
1.240234374506602e-006	2.457338e-001
1.249999999506602e-006	3.154011e-001
1.259765624506602e-006	3.850447e-001
1.269531249506602e-006	4.544797e-001
1.279296874506602e-006	5.234481e-001
1.289062499506602e-006	5.916200e-001
1.298828124506602e-006	6.585996e-001
1.308593749506602e-006	7.239332e-001
1.318359374506602e-006	7.871221e-001
1.328124999506602e-006	8.476360e-001
1.337890624506602e-006	9.049296e-001
1.347656249506602e-006	9.584596e-001
1.357421874506602e-006	1.007702e+000
1.367187499506602e-006	1.052168e+000
1.376953124506602e-006	1.091422e+000
1.386718749506602e-006	1.125092e+000
1.396484374506602e-006	1.152882e+000
1.406249999506602e-006	1.174582e+000
1.416015624506602e-006	1.190069e+000
1.425781249506602e-006	1.199310e+000
1.435546874506602e-006	1.202360e+000
1.445312499506602e-006	1.199356e+000
1.455078124506602e-006	1.190508e+000
1.464843749506602e-006	1.176090e+000
1.474609374506602e-006	1.156425e+000
1.494140624506602e-006	1.102805e+000
1.503906249506602e-006	1.069611e+000
1.513671874506602e-006	1.032665e+000
1.523437499506602e-006	9.923186e-001
1.533203124506603e-006	9.488932e-001
1.542968749506603e-006	9.026683e-001
1.552734374506603e-006	8.538767e-001
1.562499999506603e-006	8.027019e-001
1.572265624506603e-006	7.492777e-001
1.582031249506603e-006	6.936921e-001
1.591796874506603e-006	6.359922e-001
1.601562499506603e-006	5.761930e-001
1.611328124506603e-006	5.142870e-001
1.621093749506603e-006	4.502556e-001
1.630859374506603e-006	3.840812e-001
1.640624999506603e-006	3.157595e-001
1.650390624506603e-006	2.453112e-001
1.660156249506603e-006	1.727927e-001
1.669921874506603e-006	9.830530e-002
1.679687499506603e-006	2.200188e-002
1.689453124506603e-006	-5.590799e-002
1.699218749506603e-006	-1.351562e-001
1.708984374506603e-006	-2.154168e-001
1.718749999506603e-006	-2.963094e-001
1.728515624506603e-006	-3.774045e-001
1.738281249506603e-006	-4.582328e-001
1.748046874506603e-006	-5.382942e-001
1.757812499506603e-006	-6.170697e-001
1.777343749506603e-006	-7.686684e-001
1.787109374506603e-006	-8.404729e-001
1.796874999506603e-006	-9.089789e-001
1.806640624506603e-006	-9.737593e-001
1.816406249506603e-006	-1.034438e+000
1.826171874506603e-006	-1.090696e+000
1.835937499506603e-006	-1.142278e+000
1.845703124506603e-006	-1.188993e+000
1.855468749506603e-006	-1.230714e+000
