rload	V(out)	I(R433)
1.000000000000010e-027	5.888829e-027	5.888829e+000
1.047128548050910e-027	6.166361e-027	5.888829e+000
1.096478196143196e-027	6.456972e-027	5.888829e+000
1.148153621496894e-027	6.761281e-027	5.888829e+000
1.202264434617425e-027	7.079930e-027	5.888829e+000
1.258925411794180e-027	7.413596e-027	5.888829e+000
1.318256738556421e-027	7.762988e-027	5.888829e+000
1.380384264602899e-027	8.128846e-027	5.888829e+000
1.445439770745943e-027	8.511948e-027	5.888829e+000
1.513561248436224e-027	8.913103e-027	5.888829e+000
1.584893192461130e-027	9.333165e-027	5.888829e+000
1.659586907437578e-027	9.773024e-027	5.888829e+000
1.737800828749394e-027	1.023361e-026	5.888829e+000
1.819700858610003e-027	1.071591e-026	5.888829e+000
1.905460717963268e-027	1.122093e-026	5.888829e+000
1.995262314968901e-027	1.174976e-026	5.888829e+000
2.089296130854062e-027	1.230351e-026	5.888829e+000
2.187761623949577e-027	1.288335e-026	5.888829e+000
2.290867652767798e-027	1.349053e-026	5.888829e+000
2.398832919019517e-027	1.412632e-026	5.888829e+000
2.511886431509608e-027	1.479207e-026	5.888829e+000
2.630267991895412e-027	1.548920e-026	5.888829e+000
2.754228703338198e-027	1.621918e-026	5.888829e+000
2.884031503126639e-027	1.698357e-026	5.888829e+000
3.019951720402051e-027	1.778398e-026	5.888829e+000
3.162277660168416e-027	1.862211e-026	5.888829e+000
3.311311214825949e-027	1.949974e-026	5.888829e+000
3.467368504525356e-027	2.041874e-026	5.888829e+000
3.630780547701056e-027	2.138105e-026	5.888829e+000
3.801893963205656e-027	2.238870e-026	5.888829e+000
3.981071705535020e-027	2.344385e-026	5.888829e+000
4.168693834703404e-027	2.454872e-026	5.888829e+000
4.365158322401712e-027	2.570567e-026	5.888829e+000
4.570881896148806e-027	2.691714e-026	5.888829e+000
4.786300923226441e-027	2.818571e-026	5.888829e+000
5.011872336272784e-027	2.951406e-026	5.888829e+000
5.248074602497790e-027	3.090501e-026	5.888829e+000
5.495408738576313e-027	3.236152e-026	5.888829e+000
5.754399373371640e-027	3.388667e-026	5.888829e+000
6.025595860743652e-027	3.548370e-026	5.888829e+000
6.309573444802011e-027	3.715600e-026	5.888829e+000
6.606934480076043e-027	3.890711e-026	5.888829e+000
6.918309709189452e-027	4.074074e-026	5.888829e+000
7.244359600749993e-027	4.266079e-026	5.888829e+000
7.585775750291935e-027	4.467133e-026	5.888829e+000
7.943282347242917e-027	4.677663e-026	5.888829e+000
8.317637711026817e-027	4.898114e-026	5.888829e+000
8.709635899560919e-027	5.128955e-026	5.888829e+000
9.120108393559216e-027	5.370676e-026	5.888829e+000
