rload	V(out)	I(R3)
1.096478196143201e-016	6.456972e-016	5.888829e+000
1.148153621496899e-016	6.761280e-016	5.888829e+000
1.202264434617430e-016	7.079930e-016	5.888829e+000
1.258925411794186e-016	7.413597e-016	5.888829e+000
1.318256738556427e-016	7.762988e-016	5.888829e+000
1.380384264602905e-016	8.128847e-016	5.888829e+000
1.445439770745949e-016	8.511947e-016	5.888829e+000
1.513561248436231e-016	8.913103e-016	5.888829e+000
1.584893192461137e-016	9.333165e-016	5.888829e+000
1.659586907437586e-016	9.773024e-016	5.888829e+000
1.737800828749402e-016	1.023361e-015	5.888829e+000
1.819700858610011e-016	1.071591e-015	5.888829e+000
1.905460717963276e-016	1.122093e-015	5.888829e+000
1.995262314968910e-016	1.174976e-015	5.888829e+000
2.089296130854071e-016	1.230351e-015	5.888829e+000
2.187761623949586e-016	1.288335e-015	5.888829e+000
2.290867652767808e-016	1.349053e-015	5.888829e+000
2.398832919019527e-016	1.412632e-015	5.888829e+000
2.511886431509619e-016	1.479207e-015	5.888829e+000
2.630267991895423e-016	1.548920e-015	5.888829e+000
2.754228703338210e-016	1.621918e-015	5.888829e+000
2.884031503126652e-016	1.698357e-015	5.888829e+000
3.019951720402064e-016	1.778398e-015	5.888829e+000
3.162277660168430e-016	1.862211e-015	5.888829e+000
3.311311214825964e-016	1.949974e-015	5.888829e+000
3.467368504525372e-016	2.041874e-015	5.888829e+000
3.630780547701072e-016	2.138104e-015	5.888829e+000
3.801893963205674e-016	2.238870e-015	5.888829e+000
3.981071705535038e-016	2.344385e-015	5.888829e+000
4.168693834703422e-016	2.454872e-015	5.888829e+000
4.365158322401731e-016	2.570567e-015	5.888829e+000
4.570881896148826e-016	2.691714e-015	5.888829e+000
4.786300923226463e-016	2.818571e-015	5.888829e+000
5.011872336272806e-016	2.951406e-015	5.888829e+000
5.248074602497814e-016	3.090501e-015	5.888829e+000
5.495408738576338e-016	3.236152e-015	5.888829e+000
5.754399373371666e-016	3.388667e-015	5.888829e+000
6.025595860743680e-016	3.548370e-015	5.888829e+000
6.309573444802040e-016	3.715600e-015	5.888829e+000
6.606934480076073e-016	3.890711e-015	5.888829e+000
6.918309709189484e-016	4.074074e-015	5.888829e+000
7.244359600750026e-016	4.266079e-015	5.888829e+000
7.585775750291969e-016	4.467134e-015	5.888829e+000
7.943282347242952e-016	4.677663e-015	5.888829e+000
8.317637711026855e-016	4.898115e-015	5.888829e+000
8.709635899560959e-016	5.128956e-015	5.888829e+000
9.120108393559257e-016	5.370676e-015	5.888829e+000
9.549925860214527e-016	5.623788e-015	5.888829e+000
1.000000000000018e-015	5.888829e-015	5.888829e+000
1.047128548050918e-015	6.166361e-015	5.888829e+000
1.096478196143205e-015	6.456972e-015	5.888829e+000
1.148153621496903e-015	6.761280e-015	5.888829e+000
1.202264434617435e-015	7.079930e-015	5.888829e+000
1.258925411794190e-015	7.413597e-015	5.888829e+000
1.318256738556431e-015	7.762988e-015	5.888829e+000
1.380384264602910e-015	8.128846e-015	5.888829e+000
1.445439770745954e-015	8.511948e-015	5.888829e+000
1.513561248436236e-015	8.913103e-015	5.888829e+000
1.584893192461143e-015	9.333165e-015	5.888829e+000
1.659586907437591e-015	9.773023e-015	5.888829e+000
1.737800828749408e-015	1.023361e-014	5.888829e+000
1.819700858610017e-015	1.071591e-014	5.888829e+000
1.905460717963283e-015	1.122093e-014	5.888829e+000
1.995262314968917e-015	1.174976e-014	5.888829e+000
2.089296130854079e-015	1.230351e-014	5.888829e+000
2.187761623949594e-015	1.288335e-014	5.888829e+000
2.290867652767817e-015	1.349053e-014	5.888829e+000
2.398832919019537e-015	1.412632e-014	5.888829e+000
2.511886431509628e-015	1.479207e-014	5.888829e+000
2.630267991895432e-015	1.548920e-014	5.888829e+000
2.754228703338220e-015	1.621918e-014	5.888829e+000
2.884031503126662e-015	1.698357e-014	5.888829e+000
3.019951720402075e-015	1.778398e-014	5.888829e+000
3.162277660168441e-015	1.862211e-014	5.888829e+000
3.311311214825976e-015	1.949975e-014	5.888829e+000
3.467368504525385e-015	2.041874e-014	5.888829e+000
3.630780547701085e-015	2.138105e-014	5.888829e+000
